REF_DATE,GEO,DGUID,Capital and repair expenditures,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year
2006,Saskatchewan,2021A000247,Repair expenditures,Transportation and warehousing [48-49],Dollars,81,millions,6,v95926344,9.4.39,409.9,,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,"Professional, scientific and technical services [54]",Dollars,81,millions,6,v95926348,9.4.43,6.7,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction",Oil and gas extraction [211],Dollars,81,millions,6,v95926368,9.5.9,101.8,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95926370,9.5.11,0.5,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction",Construction [23],Dollars,81,millions,6,v95926372,9.5.13,4.4,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction",Manufacturing [31-33],Dollars,81,millions,6,v95926373,9.5.14,12.1,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95926384,9.5.25,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction",Primary metal manufacturing [331],Dollars,81,millions,6,v95926388,9.5.29,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95926389,9.5.30,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction",Machinery manufacturing [333],Dollars,81,millions,6,v95926390,9.5.31,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction",Transportation and warehousing [48-49],Dollars,81,millions,6,v95926398,9.5.39,137.3,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, construction","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95926402,9.5.43,1.9,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, machinery and equipment",Oil and gas extraction [211],Dollars,81,millions,6,v95926422,9.6.9,5.5,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, machinery and equipment","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95926424,9.6.11,31.6,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, machinery and equipment",Construction [23],Dollars,81,millions,6,v95926426,9.6.13,72.8,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, machinery and equipment",Manufacturing [31-33],Dollars,81,millions,6,v95926427,9.6.14,138.2,,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, machinery and equipment",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95926438,9.6.25,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, machinery and equipment",Primary metal manufacturing [331],Dollars,81,millions,6,v95926442,9.6.29,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, machinery and equipment",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95926443,9.6.30,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Repair, machinery and equipment",Machinery manufacturing [333],Dollars,81,millions,6,v95926444,9.6.31,,..,,,1,2006
